namecity,lat,lng,namecountry
Djanet,24.5550,9.4853,Algeria
Beni Abbes,30.0800,-2.1000,Algeria
In Guezzam,19.5686,5.7722,Algeria
Ain Defla,36.2583,1.9583,Algeria
Mila,36.4481,6.2622,Algeria
Ouled Djellal,34.4167,5.0667,Algeria
El Meghaier,33.9506,5.9242,Algeria
Es Senia,35.6478,-0.6239,Algeria
Ain M'Lila,36.0367,6.5719,Algeria
Khemis Miliana,36.2600,2.2000,Algeria
El Milia,36.7500,6.2667,Algeria
Chelghoum el Aid,36.1667,6.1667,Algeria
Khemis el Khechna,36.6500,3.3306,Algeria
Bordj Menaiel,36.7417,3.7231,Algeria
Mecheria,33.5500,-0.2833,Algeria
Ain Sefra,32.7500,-0.5833,Algeria
Rouiba,36.7333,3.2833,Algeria
Tighenif,35.4167,0.3330,Algeria
Lakhdaria,36.5622,3.5944,Algeria
Boufarik,36.5750,2.9097,Algeria
Azzaba,36.7333,7.1000,Algeria
Akbou,36.4667,4.5333,Algeria
'Ain Azel,35.8433,5.5219,Algeria
Ouled Moussa,36.6831,3.3681,Algeria
Hassi Messaoud,31.7000,6.0667,Algeria
'Ain Arnat,36.1833,5.3167,Algeria
Draa el Mizan,36.5333,3.8333,Algeria
Souma,36.5183,2.9053,Algeria
Bougara,36.5333,3.0833,Algeria
Azazga,36.7453,4.3711,Algeria
Didouche Mourad,36.4484,6.6339,Algeria
Dellys,36.9133,3.9141,Algeria
Draa Ben Khedda,36.7349,3.9556,Algeria
Boghni,36.5437,3.9523,Algeria
'Ain Abid,36.2325,6.9440,Algeria
Tizi Gheniff,36.5891,3.7678,Algeria
El Kseur,36.6844,4.8522,Algeria
L'Arbaa Nait Irathen,36.6367,4.2067,Algeria
N'Gaous,35.5550,5.6106,Algeria
Timizart,36.8000,4.2667,Algeria
Babar,35.1692,7.1013,Algeria
Freha,36.7620,4.3163,Algeria
Mekla,36.6876,4.2681,Algeria
Tadjmout,33.8667,2.5167,Algeria
Beni Amrane,36.6686,3.5922,Algeria
Makouda,36.7909,4.0669,Algeria
Tadmait,36.7427,3.9019,Algeria
Amoucha,36.3880,5.4108,Algeria
Naciria,36.7500,3.8333,Algeria
Kadiria,36.5333,3.6833,Algeria
Djinet,36.8770,3.7231,Algeria
Beni Douala,36.6167,4.0667,Algeria
Thenia,36.7278,3.5539,Algeria
Tizi-n-Bechar,36.4311,5.3600,Algeria
'Ain el Hammam,36.5714,4.3097,Algeria
Aomar,36.5000,3.7833,Algeria
Tala Yfassene,36.4583,5.0889,Algeria
Reggane,26.7000,0.1667,Algeria
Arbaoun,36.4667,5.6500,Algeria
Tirmitine,36.6618,3.9848,Algeria
Timoktene,27.0217,1.0150,Algeria
Bettioua,35.8000,-0.2667,Algeria
Beni Fouda,36.2861,5.6071,Algeria
Tizi Rached,36.6718,4.1918,Algeria
Ain Zaouia,36.5483,3.8942,Algeria
Sidi Daoud,36.8500,3.8500,Algeria
Azeffoun,36.8961,4.4204,Algeria
Tichi,36.6675,5.1601,Algeria
'Ain Abessa,36.3000,5.2950,Algeria
Chorfa,36.3617,4.3307,Algeria
Ouadhia,36.5500,4.0833,Algeria
Boudjima,36.8140,4.1588,Algeria
Tizi-n-Tleta,36.5457,4.0571,Algeria
Ait Yaich,36.5811,4.3303,Algeria
Ouled Sidi Brahim,36.3667,3.7167,Algeria
Iflissen,36.8636,4.2203,Algeria
Abadla,31.0167,-2.7333,Algeria
Takerbouzt,36.4180,4.3428,Algeria
Moudjbara,34.5037,3.4704,Algeria
Afir,36.7676,3.7029,Algeria
Mechtras,36.5448,4.0049,Algeria
Sali,26.9833,-0.0333,Algeria
El Marsa,36.8111,3.2556,Algeria
Arhribs,36.8022,4.3227,Algeria
Si Mustapha,36.7247,3.6153,Algeria
Iferhounene,36.5338,4.3701,Algeria
El Adjiba,36.3333,4.1500,Algeria
Yakouren,36.7348,4.4386,Algeria
Tigzirt,36.8931,4.1225,Algeria
Bechloul,36.3167,4.0667,Algeria
El Ancor,35.6833,-0.8667,Algeria
'Ain Roua,36.3344,5.1806,Algeria
Charouine,29.0167,-0.2667,Algeria
Bir Ghbalou,36.2642,3.5836,Algeria
Sidi Namane,36.7581,3.9839,Algeria
Sidi Brahim,35.2606,-0.5675,Algeria
Ben N'Choud,36.8624,3.8806,Algeria
Bordj Okhriss,36.0833,3.9667,Algeria
Ben Nasseur,33.1107,6.4410,Algeria
Souama,36.6417,4.3416,Algeria
Bou Nouh,36.5000,3.9333,Algeria
Toudja,36.7586,4.8933,Algeria
Ifigha,36.6667,4.4167,Algeria
Ouled Rached,36.2119,4.1106,Algeria
Seddouk Oufella,36.6061,4.6389,Algeria
I-n-Amenas,28.0500,9.5500,Algeria
Abalessa,22.8900,4.8472,Algeria
Boukhralfa,36.6144,5.0872,Algeria
Tifra,36.6664,4.6972,Algeria
Amalou,36.4778,4.6333,Algeria
Beni Ounif,32.0500,-1.2500,Algeria
I-n-Amguel,23.6936,5.1647,Algeria
Pago Pago,-14.2740,-170.7046,American Samoa
Andorra la Vella,42.5000,1.5000,Andorra
Escaldes-Engordany,42.5089,1.5408,Andorra
Encamp,42.5361,1.5828,Andorra
La Massana,42.5444,1.5144,Andorra
Sant Julia de Loria,42.4650,1.4911,Andorra
Ordino,42.5550,1.5331,Andorra
Canillo,42.5667,1.6000,Andorra
Luanda,-8.8383,13.2344,Angola
Cacuaco,-8.8053,13.2444,Angola
Lubango,-14.9167,13.5000,Angola
Cabinda,-5.5600,12.1900,Angola
Huambo,-12.7767,15.7347,Angola
Malanje,-9.5333,16.3500,Angola
Benguela,-12.5500,13.4167,Angola
Belas,-8.9983,13.2650,Angola
Talatona,-8.9167,13.1833,Angola
Lobito,-12.3597,13.5308,Angola
Saurimo,-9.6500,20.4000,Angola
Cubal,-13.1117,14.3672,Angola
Luena,-11.7918,19.9062,Angola
Cuito,-12.3833,16.9333,Angola
Uige,-7.6167,15.0500,Angola
Menongue,-14.6556,17.6842,Angola
Vila Teixeira da Silva,-12.0072,15.7792,Angola
Sumbe,-11.2053,13.8417,Angola
Gabela,-10.8500,14.3667,Angola
Ndulo,-11.4833,15.8333,Angola
Mocamedes,-15.1953,12.1508,Angola
Ganda,-13.0858,14.7417,Angola
Barra do Dande,-8.4728,13.3731,Angola
Soio,-6.1333,12.3667,Angola
Tchitato,-7.3450,20.8198,Angola
Chibia,-15.1833,13.7000,Angola
Ucu Seles,-11.4047,14.3006,Angola
Cuango,-9.1444,18.0464,Angola
Dundo,-7.3801,20.8351,Angola
Catumbela,-12.4167,13.5333,Angola
Cazanga,-9.3000,14.9500,Angola
Caluquembe,-13.9208,14.5347,Angola
Catape,-13.7667,15.0833,Angola
Ebo,-11.0000,14.6667,Angola
Bocoio,-12.4667,14.1333,Angola
Quibala,-10.7333,14.9833,Angola
Ndalatando,-9.3000,14.9167,Angola
Quipungo,-14.8167,14.5167,Angola
Lucapa,-8.4228,20.7393,Angola
Mbanza Kongo,-6.2667,14.2500,Angola
Maquela do Zombo,-6.0500,15.1167,Angola
Namacunde,-17.3000,15.8500,Angola
Negage,-7.7667,15.2667,Angola
Porto Amboim,-10.7183,13.7500,Angola
Quimbele,-6.5167,16.2167,Angola
Londuimbali,-12.2186,15.2850,Angola
Chicomba,-14.1333,14.9167,Angola
Chinguar,-12.5500,16.3333,Angola
Catabola,-12.1167,17.3000,Angola
Ondjiva,-17.0667,15.7333,Angola
Catchiungo,-12.7864,16.3233,Angola
Cassongue,-11.8333,15.0000,Angola
Quilengues,-14.0814,14.0764,Angola
Mungo,-11.6667,16.1667,Angola
Balombo,-12.3500,14.7667,Angola
Baia Farta,-12.6128,13.1987,Angola
Ndjamba,-14.7000,16.0667,Angola
Caxito,-8.5800,13.6642,Angola
Quilenda,-10.6333,14.3333,Angola
Caimbambo,-12.9000,14.0833,Angola
Cambambe,-9.7586,14.5122,Angola
Uacu Cungo,-11.3583,15.1194,Angola
Luau,-10.7044,22.2283,Angola
Conda,-11.1667,14.5000,Angola
Humpata,-15.0725,13.3678,Angola
Chongoroi,-13.5667,13.9500,Angola
Longonjo,-12.9067,15.1864,Angola
Calandala,-9.0667,17.9000,Angola
Capenda Camulemba,-9.5647,18.7633,Angola
Kuvango,-14.4667,16.3000,Angola
Chitembo,-13.5167,16.7667,Angola
Cunhinga,-12.2333,16.7833,Angola
Dondo,-9.6942,14.4228,Angola
Xangongo,-16.7467,14.9747,Angola
Cahama,-16.2833,14.3167,Angola
Sanza Pombo,-7.3333,16.0000,Angola
Chipindo,-13.8244,15.8000,Angola
Camabatela,-8.1833,15.3667,Angola
Sungo,-11.2333,14.3167,Angola
Nambuangongo,-8.0167,14.2000,Angola
Calulo,-10.0007,14.9010,Angola
Camacupa,-12.0256,17.4686,Angola
Cuvelai,-15.6667,15.8000,Angola
Nova Esperanca,-6.7333,15.9000,Angola
Cuemba,-12.1500,18.0833,Angola
PortoAlexandre,-15.8000,11.8500,Angola
Ucuma,-12.8500,15.0667,Angola
Luquembo,-10.7333,17.8833,Angola
Cangola,-7.9667,15.8667,Angola
Cambundi Catembo,-10.0756,17.5569,Angola
Cangandala,-9.7833,16.4333,Angola
Mucaba,-7.1667,14.9333,Angola
Cuchi,-14.6500,16.9000,Angola
Cuito Cuanavale,-15.1667,19.1667,Angola
Cacuso,-8.2333,15.3500,Angola
Puri,-7.6833,15.6000,Angola
Quilevo,-7.6167,15.0500,Angola
Golungo Alto,-9.1333,14.7667,Angola
Muconda,-10.6000,21.3167,Angola
Massango,-11.3167,14.9333,Angola
Bembe,-7.1000,14.4500,Angola
Buco Zau,-4.7950,12.5467,Angola
Virei,-15.7167,12.9500,Angola
Cacolo,-10.1333,19.2667,Angola
Tchindjendje,-12.8167,14.9333,Angola
Mucari,-9.4667,16.9167,Angola
Dala,-11.0342,20.2036,Angola
Marimba,-8.3667,17.0167,Angola
Ambriz,-7.8500,13.1167,Angola
Lucala,-9.6333,14.0667,Angola
Samba Cango,-9.1000,15.5500,Angola
Caombo,-8.7000,16.5167,Angola
Quirima,-10.9000,18.0833,Angola
Alto-Cuilo,-8.2371,19.5238,Angola
Cacongo,-5.2333,12.1333,Angola
Quela,-9.3833,17.0500,Angola
Luacano,-11.2167,21.6500,Angola
Lubalo,-9.1500,19.2833,Angola
Quibaxi,-8.5000,14.5833,Angola
Ambiula,-7.4333,14.6500,Angola
Bolongongo,-8.4667,15.2500,Angola
Cunda dia Baze,-8.9167,17.0667,Angola
Nzeto,-7.2290,12.8650,Angola
Songo,-7.3496,14.8500,Angola
Banga,-8.7333,15.1667,Angola
Quiculungo,-8.5167,15.3167,Angola
Chibemba,-15.7355,13.8905,Angola
Cazombo,-11.9058,22.9217,Angola
Bala Cangamba,-13.6833,19.8667,Angola
Calenga,-11.3196,16.2000,Angola
Tchitado,-17.3167,13.9167,Angola
The Valley,18.2167,-63.0500,Anguilla
Saint John's,17.1167,-61.8500,Antigua and Barbuda
Buenos Aires,-34.5997,-58.3819,Argentina
Cordoba,-31.4167,-64.1833,Argentina
Rosario,-32.9575,-60.6394,Argentina
Santiago del Estero,-27.7833,-64.2667,Argentina
Comodoro Rivadavia,-45.8647,-67.4808,Argentina
Mar del Plata,-38.0000,-57.5500,Argentina
San Miguel de Tucuman,-26.8167,-65.2167,Argentina
Salta,-24.7833,-65.4167,Argentina
San Juan,-31.5342,-68.5261,Argentina
Lanus,-34.7000,-58.4000,Argentina
Florencio Varela,-34.8167,-58.2833,Argentina
Santa Fe,-31.6333,-60.7000,Argentina
Corrientes,-27.4833,-58.8167,Argentina
San Salvador de Jujuy,-24.1833,-65.3000,Argentina
Bahia Blanca,-38.7167,-62.2667,Argentina
Resistencia,-27.4514,-58.9867,Argentina
Posadas,-27.3667,-55.9000,Argentina
Quilmes,-34.7167,-58.2667,Argentina
Parana,-31.7331,-60.5297,Argentina
Merlo,-34.6653,-58.7275,Argentina
Gonzalez Catan,-34.7667,-58.6167,Argentina
Formosa,-26.1833,-58.1833,Argentina
Banfield,-34.7500,-58.3833,Argentina
Neuquen,-38.9525,-68.0642,Argentina
Jose C. Paz,-34.5167,-58.7667,Argentina
Isidro Casanova,-34.7000,-58.5833,Argentina
La Plata,-34.9211,-57.9544,Argentina
Godoy Cruz,-32.9167,-68.8333,Argentina
Las Heras,-32.8500,-68.8167,Argentina
Berazategui,-34.7167,-58.2500,Argentina
La Rioja,-29.4125,-66.8542,Argentina
San Luis,-33.3000,-66.3333,Argentina
San Miguel,-34.5333,-58.7167,Argentina
Jose Maria Ezeiza,-34.8333,-58.5167,Argentina
General Roca,-39.0333,-67.5833,Argentina
San Nicolas de los Arroyos,-33.3333,-60.2167,Argentina
Catamarca,-28.4667,-65.7833,Argentina
Rafael Castillo,-34.7167,-58.6167,Argentina
Rio Cuarto,-33.1333,-64.3500,Argentina
Florencio Varela,-34.8167,-58.3833,Argentina
Concordia,-31.4000,-58.0333,Argentina
San Justo,-34.6833,-58.5500,Argentina
Ituzaingo,-34.6667,-58.6667,Argentina
Temperley,-34.7667,-58.3833,Argentina
Ramos Mejia,-34.6500,-58.5667,Argentina
Lomas de Zamora,-34.7667,-58.4000,Argentina
San Rafael,-34.6000,-68.3333,Argentina
San Martin,-33.0806,-68.4706,Argentina
Mendoza,-32.8833,-68.8167,Argentina
Tandil,-37.3167,-59.1333,Argentina
Puerto Madryn,-42.7667,-65.0500,Argentina
Bernal,-34.7000,-58.2833,Argentina
Esteban Echeverria,-34.8167,-58.4667,Argentina
Castelar,-34.6667,-58.6667,Argentina
San Carlos de Bariloche,-41.1500,-71.3000,Argentina
Villa Mercedes,-33.6667,-65.4667,Argentina
Gualeguaychu,-33.0167,-58.5167,Argentina
Villa Krause,-31.5833,-68.5333,Argentina
Lujan,-34.5667,-59.1000,Argentina
Moron,-34.6500,-58.6167,Argentina
Maipu,-32.9667,-68.7500,Argentina
La Banda,-27.7333,-64.2500,Argentina
Villa Luzuriaga,-34.6667,-58.5833,Argentina
Caseros,-34.6106,-58.5625,Argentina
Libertad,-34.6833,-58.6833,Argentina
Santa Rosa,-36.6167,-64.2833,Argentina
Burzaco,-34.8167,-58.3667,Argentina
Ciudad General Belgrano,-34.7167,-58.5333,Argentina
San Francisco Solano,-34.7667,-58.3167,Argentina
Rio Gallegos,-51.6233,-69.2161,Argentina
Monte Chingolo,-34.7333,-58.3500,Argentina
Grand Bourg,-34.4833,-58.7167,Argentina
Remedios de Escalada,-34.7167,-58.4000,Argentina
Ezpeleta,-34.7517,-58.2344,Argentina
Villa Celina,-34.7006,-58.4825,Argentina
El Palomar,-34.6167,-58.5833,Argentina
Lomas del Mirador,-34.6667,-58.5297,Argentina
Ciudadela,-34.6333,-58.5333,Argentina
Viedma,-40.8000,-63.0000,Argentina
Bella Vista,-34.5333,-58.6667,Argentina
Gerli,-34.6833,-58.3667,Argentina
Wilde,-34.7000,-58.3167,Argentina
Martinez,-34.4833,-58.5000,Argentina
Villa Dominico,-34.6917,-58.3333,Argentina
Banda del Rio Sali,-26.8500,-65.1667,Argentina
Los Polvorines,-34.5000,-58.7000,Argentina
Hurlingham,-34.5883,-58.6392,Argentina
Beccar,-34.4667,-58.5167,Argentina
Glew,-34.8833,-58.3833,Argentina
Rafael Calzada,-34.7833,-58.3667,Argentina
Mariano Acosta,-34.7167,-58.7833,Argentina
Ushuaia,-54.8019,-68.3031,Argentina
Florida,-34.5167,-58.5000,Argentina
Longchamps,-34.8500,-58.3833,Argentina
Villa Alsina,-34.6667,-58.4167,Argentina
San Isidro,-34.4667,-58.5167,Argentina
Jose Marmol,-34.7833,-58.3667,Argentina
Llavallol,-34.7667,-58.3833,Argentina
Dock Sur,-34.6417,-58.3478,Argentina
Claypole,-34.8000,-58.3333,Argentina
Ingeniero Pablo Nogues,-34.4667,-58.7667,Argentina
Haedo,-34.6500,-58.6000,Argentina
Munro,-34.5333,-58.5167,Argentina
Villa Adelina,-34.5175,-58.5475,Argentina
Adrogue,-34.8000,-58.3833,Argentina
Avellaneda,-34.6625,-58.3678,Argentina
Vicente Lopez,-34.5333,-58.4750,Argentina
Muniz,-34.5333,-58.7000,Argentina
Tapiales,-34.7058,-58.5047,Argentina
Don Bosco,-34.7000,-58.2833,Argentina
Martin Coronado,-34.6000,-58.5500,Argentina
Billinghurst,-34.5667,-58.5333,Argentina
Rawson,-43.3000,-65.1000,Argentina
Villa Sarmiento,-34.6333,-58.5667,Argentina
La Lucila,-34.4833,-58.4833,Argentina
Aldo Bonzi,-34.7083,-58.5181,Argentina
Acasusso,-34.4667,-58.5167,Argentina
Malvinas Argentinas,-31.3697,-64.0531,Argentina
Zarate,-34.0833,-59.0333,Argentina
Trelew,-43.2500,-65.3000,Argentina
Rafaela,-31.2667,-61.4833,Argentina
Necochea,-38.5500,-58.7333,Argentina
Presidencia Roque Saenz Pena,-26.7833,-60.4500,Argentina
Olavarria,-36.9000,-60.3333,Argentina
Chimbas,-31.5000,-68.5319,Argentina
Berisso,-34.8728,-57.8858,Argentina
Pergamino,-33.8836,-60.5669,Argentina
Cipolletti,-38.9333,-67.9833,Argentina
Campana,-34.1667,-58.9167,Argentina
General Rodriguez,-34.6167,-58.9500,Argentina
Junin,-34.5833,-60.9500,Argentina
Rivadavia,-31.5303,-68.5947,Argentina
Rivadavia,-33.1833,-68.4667,Argentina
Puerto Iguazu,-25.6000,-54.5667,Argentina
Pilar,-34.4588,-58.9142,Argentina
Gobernador Galvez,-33.0256,-60.6336,Argentina
Villa Maria,-32.4103,-63.2314,Argentina
Venado Tuerto,-33.7500,-61.9667,Argentina
San Ramon de la Nueva Oran,-23.1333,-64.3333,Argentina
Reconquista,-29.1443,-59.6438,Argentina
Lujan de Cuyo,-32.9980,-68.8730,Argentina
Concepcion del Uruguay,-32.4833,-58.2333,Argentina
Goya,-29.1333,-59.2500,Argentina
San Pedro,-33.6794,-59.6669,Argentina
Rio Grande,-53.7833,-67.7000,Argentina
Obera,-27.4833,-55.1333,Argentina
Don Torcuato,-34.5000,-58.6167,Argentina
Santo Tome,-31.6667,-60.7667,Argentina
Pirane,-25.7328,-59.1100,Argentina
Mercedes,-34.6500,-59.4333,Argentina
Tartagal,-22.5000,-63.8333,Argentina
Villa Carlos Paz,-31.4000,-64.5167,Argentina
San Francisco,-31.4356,-62.0714,Argentina
Sarandi,-34.6833,-58.3333,Argentina
Garin,-34.4167,-58.7500,Argentina
San Pedro,-24.2196,-64.8700,Argentina
Punta Alta,-38.8800,-62.0750,Argentina
Chivilcoy,-34.9000,-60.0167,Argentina
Cosquin,-31.2436,-64.4653,Argentina
Eldorado,-26.4000,-54.6333,Argentina
General Pico,-35.6667,-63.7333,Argentina
Azul,-36.7833,-59.8500,Argentina
Belen de Escobar,-34.3333,-58.8167,Argentina
Ensenada,-34.8644,-57.9103,Argentina
Barranqueras,-27.4833,-58.9333,Argentina
Guernica,-34.9167,-58.3833,Argentina
Clorinda,-25.2833,-57.7167,Argentina
Cruz del Eje,-30.7333,-64.8000,Argentina
Caleta Olivia,-46.4333,-67.5333,Argentina
El Talar de Pacheco,-34.4719,-58.6550,Argentina
Yerba Buena,-26.8167,-65.3167,Argentina
Palpala,-24.2500,-65.1167,Argentina
Concepcion,-27.3333,-65.5833,Argentina
Villaguay,-31.8500,-59.0167,Argentina
Libertador General San Martin,-23.8000,-64.7833,Argentina
Tunuyan,-33.5667,-69.0167,Argentina
La Reja,-34.6394,-58.8283,Argentina
Alta Gracia,-31.6667,-64.4333,Argentina
San Lorenzo,-28.1200,-58.7700,Argentina
Catriel,-37.8667,-67.8333,Argentina
Villa Constitucion,-33.2333,-60.3333,Argentina
General Martin Miguel de Guemes,-24.6667,-65.0500,Argentina
Tres Arroyos,-38.3667,-60.2667,Argentina
Rio Tercero,-32.1833,-64.1000,Argentina
San Lorenzo,-32.7500,-60.7333,Argentina
Chajari,-30.7667,-57.9833,Argentina
Pinamar,-37.1000,-56.8500,Argentina
Balcarce,-37.8456,-58.2578,Argentina
General Pacheco,-34.4500,-58.6500,Argentina
Esperanza,-31.4167,-60.9333,Argentina
Paso de los Libres,-29.7167,-57.0833,Argentina
Gualeguay,-33.1500,-59.3333,Argentina
Coronel Suarez,-37.4667,-61.9333,Argentina
Villa Angela,-27.5833,-60.7167,Argentina
Apostoles,-27.9167,-55.7667,Argentina
Tafi Viejo,-26.7333,-65.2667,Argentina
Marcos Paz,-34.7667,-58.8333,Argentina
Alderetes,-26.8167,-65.1333,Argentina
